Disaster_Event,Disaster_Type,Slow_Departments,Needed_Priority,Critical_Lesson
"2018 Thrissur, Chengannur (Kerala state); West Bengal, Odisha, Assam, Nagaland, Uttar Pradesh, Himachal Pradesh, Maharashtra states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (23220000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1999 Uttar Pradesh, Bihar, West Bengal, Madhya Prasdeh, Delhi Flood",Flood,Police,Police / Evacuation,"Widespread displacement (22120000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2000 Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala Flood",Flood,Police,Police / Evacuation,"Widespread displacement (22000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1988 Dharbhanga, Madhubani, Saharsa, Munger, Khagana, Bihar Sharie (Bihar State) Earthquake",Earthquake,Medical,Medical / Triage,"Massive casualty count (3766 injured). Medical was overwhelmed. Lesson: For Earthquakes of this scale, prioritize setting up forward triage points and request mutual aid ambulances immediately."
"2005 Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (20000055 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
Cyclone 'Fani',Storm,Police,Police / Evacuation,"Widespread displacement (20000000 affected). Evacuation routes were clogged. Lesson: For major Storms, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2007 Bihar, Uttar Pradesh, Assam, Orissa, West Bengal provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (18700000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1987 Assam, Bihar, West Bengal Flood",Flood,Police,Police / Evacuation,"Widespread displacement (18000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
Cyclone 'Amphan',Storm,Police,Police / Evacuation,"Widespread displacement (18000000 affected). Evacuation routes were clogged. Lesson: For major Storms, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2017 Araria, Jogbani (Bihar); Uttar Pradesh, West Bengal Flood",Flood,Police,Police / Evacuation,"Widespread displacement (17200000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1988 Bihar, West Bengal, Assam Flood",Flood,Police,Police / Evacuation,"Widespread displacement (16500000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1984 North-East states Flood,Flood,Police,Police / Evacuation,"Widespread displacement (16000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1981 nan Flood,Flood,Police,Police / Evacuation,"Widespread displacement (16000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1977 Tamil Nadu, Andhra Pradesh, Kerala Storm",Storm,Police,Police / Evacuation,"Widespread displacement (14469800 affected). Evacuation routes were clogged. Lesson: For major Storms, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2015 Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (13709887 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
Cyclone Phailin,Storm,Police,Police / Evacuation,"Widespread displacement (13230000 affected). Evacuation routes were clogged. Lesson: For major Storms, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
05B,Storm,Medical,Medical / Triage,"Massive casualty count (3312 injured). Medical was overwhelmed. Lesson: For Storms of this scale, prioritize setting up forward triage points and request mutual aid ambulances immediately."
"1994 Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states Flood",Flood,Police,Police / Evacuation,"Widespread displacement (12060050 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2007 Assam, Arunachal Pradesh, Meghalaya, Manipur provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (11100000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1970 North-East, Western, North Flood",Flood,Medical,Medical / Triage,"Massive casualty count (1000 injured). Medical was overwhelmed. Lesson: For Floods of this scale, prioritize setting up forward triage points and request mutual aid ambulances immediately."
"2023 Himachal Pradesh, Uttarakhand, Delhi, Bihar, Madyah Pradesh, Maharashtra, Chhattisgarh, Gujarat, Punjab, Karnataka, Assam Flood",Flood,Police,Police / Evacuation,"Widespread displacement (10250000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1985 Uttar Pradesh, West Bengal, Punjab (North, North-West, East India) Flood",Flood,Police,Police / Evacuation,"Widespread displacement (10225000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
1979 nan Drought,Drought,Police,Police / Evacuation,"Widespread displacement (10000000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2001 Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province) Flood",Flood,Police,Police / Evacuation,"Widespread displacement (9670000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2018 Karnataka, Maharashtra states Drought",Drought,Police,Police / Evacuation,"Widespread displacement (8200000 affected). Evacuation routes were clogged. Lesson: For major Droughts, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2001 Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province) Earthquake",Earthquake,Medical,Medical / Triage,"Massive casualty count (166812 injured). Medical was overwhelmed. Lesson: For Earthquakes of this scale, prioritize setting up forward triage points and request mutual aid ambulances immediately."
"2008 Lakhimpu, Dhemaji, Sonitpur districts (Assam province), West Bengal, Orissa, Bihar, Gujarat, Goa, Haryana, Kerala, Karnataka, Maharastra, Madhya Pradesh, Punjab, Rajasthan, Uttar Pradesh, Tamil Nadu, Arunachal Pradesh, Uttarakhand, Jharkhand provinces Flood",Flood,Police,Police / Evacuation,"Widespread displacement (7900000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"1968 (1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam Flood",Flood,Police,Police / Evacuation,"Widespread displacement (7500000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2007 Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province) Flood",Flood,Police,Police / Evacuation,"Widespread displacement (7200000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
07B,Storm,Police,Police / Evacuation,"Widespread displacement (7000000 affected). Evacuation routes were clogged. Lesson: For major Storms, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
"2001 Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province) Flood",Flood,Police,Police / Evacuation,"Widespread displacement (7000000 affected). Evacuation routes were clogged. Lesson: For major Floods, prioritize Police to establish one-way evacuation routes before dispatching Fire/Medical."
